,City,Latitude,Max Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
0,Sao Filipe,14.9,73.65,80,100,16.33
1,Severo-Kurilsk,50.68,28.85,77,97,21.07
2,Lorengau,-2.02,83.43,75,66,5.59
3,Tiassale,5.9,72.86,97,2,1.54
4,Ushuaia,-54.81,33.8,98,75,20.8
5,Richards Bay,-28.77,69.66,71,98,13.51
6,Punta Arenas,-53.16,35.6,74,77,11.41
7,Sonoita,31.68,72.0,55,1,18.34
8,Longyearbyen,78.22,24.8,73,75,19.46
9,Balkhash,46.84,35.6,38,39,4.47
10,Vaini,15.34,71.6,100,75,2.15
11,Ambilobe,-13.19,77.32,70,98,10.13
12,Butaritari,3.07,84.24,66,88,8.77
13,Mataura,-46.19,63.0,72,100,5.01
14,Los Llanos de Aridane,28.66,69.8,56,75,16.11
15,Nouadhibou,20.93,69.8,73,100,14.99
16,Waingapu,-9.65,82.27,74,0,4.94
17,Victoria,5.28,80.6,78,75,9.17
18,Bluff,-23.58,87.78,16,0,18.14
19,Dikson,73.51,-1.57,97,96,10.33
20,Georgetown,6.8,77.0,94,20,4.7
21,Kandrian,-6.21,82.31,87,100,4.76
22,Cape Town,-33.93,64.99,67,86,5.82
23,Thompson,55.74,6.8,84,90,4.7
24,Hobart,-42.88,53.01,66,75,13.87
25,Guerrero Negro,27.97,69.49,64,0,11.01
26,Beringovskiy,63.05,24.53,87,99,10.0
27,Bom Jesus da Lapa,-13.25,76.64,43,0,4.61
28,Saskylakh,71.97,-12.75,97,100,11.97
29,Narsaq,60.91,37.4,40,0,6.93
30,Klaksvik,62.23,41.0,75,100,20.8
31,Raahe,64.68,21.2,92,90,6.93
32,Taltal,-25.41,53.74,88,44,0.67
33,Puerto Ayora,-0.74,70.0,90,44,5.99
34,Airai,-8.93,87.62,29,11,7.76
35,Daokou,35.61,33.53,92,100,12.37
36,Bredasdorp,-34.53,62.01,67,100,17.22
37,Hobyo,5.35,79.11,81,6,6.98
38,Qaanaaq,77.48,-5.21,57,0,5.77
39,Agadir,30.42,50.0,87,0,4.7
40,Albany,42.65,26.6,62,1,4.7
41,Fethiye,36.62,53.6,93,0,6.93
42,Valparaiso,41.47,28.4,63,1,4.7
43,Khani,41.96,44.6,81,58,2.24
44,Kavaratti,10.57,82.4,74,40,6.93
45,Vaitape,-16.52,81.28,77,100,18.59
46,Baisha,19.23,70.07,61,69,5.7
47,Vila Velha,-3.71,80.6,74,40,16.11
48,Atuona,-9.8,79.84,78,0,12.8
49,Half Moon Bay,37.46,55.99,93,90,3.36
50,Hermanus,-34.42,62.01,80,100,10.0
51,Rikitea,-23.12,73.47,76,100,10.74
52,Saint-Philippe,45.36,27.0,85,1,6.04
53,Iquique,-20.22,64.4,72,90,5.82
54,Sovetskiy,56.76,23.59,72,0,3.4
55,Velizh,55.61,41.47,88,100,9.89
56,Mantua,45.16,48.99,93,75,1.12
57,Beckley,37.78,28.99,79,1,1.61
58,Sechura,-5.56,63.93,88,5,5.84
59,Port Alfred,-33.59,61.0,79,73,1.99
60,Lelystad,52.52,45.0,100,40,13.87
61,Petropavlovsk-Kamchatskiy,53.05,35.6,55,40,4.47
62,Tasiilaq,65.61,37.4,55,100,36.91
63,Port Elizabeth,39.31,34.0,54,1,5.82
64,Luderitz,-26.65,55.4,100,59,3.36
65,Katobu,-4.94,93.7,44,34,2.51
66,Matara,-3.48,58.71,82,31,5.28
67,Ossora,59.24,36.72,97,100,22.79
68,Monticello,40.03,28.4,63,1,9.17
69,Tessalit,20.2,74.12,22,1,7.52
70,Broome,52.47,41.0,86,73,9.17
71,Gelemso,8.81,59.65,72,14,1.48
72,Ancud,-41.87,48.2,81,35,6.93
73,Carlisle,54.89,37.0,100,100,5.82
74,Bandarbeyla,9.49,79.88,74,0,11.43
75,Kalat,29.03,41.77,23,0,0.45
76,Yar-Sale,66.83,-3.72,99,70,7.74
77,Paka,4.15,67.71,96,0,1.61
78,Torbay,47.66,52.0,93,90,16.11
79,Hovd,63.83,27.0,78,27,8.05
80,Bontang,0.12,83.62,75,75,6.58
81,Busselton,-33.64,93.99,19,17,4.03
82,Horta,-10.93,80.6,74,40,6.93
83,Praia,-20.25,69.8,88,40,3.91
84,Castro,-42.48,48.2,81,63,6.93
85,Camacha,33.08,66.2,59,20,12.75
86,San Patricio,-26.98,73.08,90,0,4.45
87,Srednekolymsk,67.46,3.38,94,100,8.16
88,Mizan Teferi,6.99,62.13,86,91,4.25
89,Teixoso,40.31,41.0,96,66,1.99
90,Pevek,69.7,10.62,66,0,0.07
91,Sao Joao da Barra,-21.64,75.09,91,100,4.97
92,Riviere-au-Renard,49.0,28.4,54,90,10.29
93,Hithadhoo,-0.6,81.82,76,46,10.38
94,Mutis,6.23,80.76,84,100,10.09
95,Deputatskiy,69.3,-12.16,95,28,2.91
96,East London,-33.02,57.2,87,75,3.36
97,Gola Bazar,26.34,77.29,60,0,4.16
98,Saldanha,41.42,39.7,87,100,8.01
99,Kununurra,-15.77,104.0,16,26,6.93
100,Makakilo City,21.35,82.4,78,1,8.05
101,Mehamn,71.03,16.48,96,53,6.93
102,Mitsamiouli,-11.38,82.4,69,40,9.17
103,Belyy Yar,53.6,41.0,65,100,15.66
104,Aviles,43.55,55.0,76,87,11.41
105,Pisco,-13.71,64.4,77,30,14.99
106,Kouqian,43.66,40.37,27,0,4.79
107,Kodiak,39.95,37.4,55,1,11.41
108,Carutapera,-1.2,82.08,76,22,12.64
109,Yellowknife,62.45,10.4,78,75,17.22
110,Mahebourg,-20.41,77.0,73,40,11.41
111,Ust-Nera,64.57,0.36,95,97,1.88
112,Mar del Plata,-46.43,48.4,68,0,18.5
113,North Platte,41.12,44.01,64,1,6.93
114,Barrow,-38.31,51.42,75,100,5.7
115,Palora,-1.7,66.13,95,95,2.73
116,Vrede,-27.43,53.87,89,39,9.51
117,Esperance,-33.86,80.6,26,0,12.75
118,Jamestown,-33.21,64.98,28,0,13.38
119,Takoradi,4.89,79.38,79,0,1.77
120,Rundu,-17.91,73.4,53,62,1.12
121,Mansfield,53.14,35.6,88,62,1.12
122,Kungurtug,50.6,28.72,61,96,2.01
123,Chicama,-7.84,64.4,82,40,9.17
124,Romny,50.74,44.22,91,6,13.73
125,Yulara,-25.24,82.4,15,0,12.75
126,Aragarcas,-15.9,72.14,88,100,4.99
127,Maningrida,-12.05,95.41,39,0,11.39
128,Dalbandin,28.9,51.76,16,0,5.57
129,Santiago de Cao,-7.96,64.4,82,40,9.17
130,Port Keats,-14.25,92.3,43,0,10.89
131,Laguna,16.17,75.2,100,40,1.72
132,Selma,32.41,41.0,86,87,5.82
133,Koygorodok,60.44,5.32,91,99,2.8
134,Miri,10.31,72.54,38,23,2.77
135,Constitucion,23.99,62.6,72,40,3.36
136,Kavieng,-2.57,84.25,77,100,12.64
137,Hilo,19.71,82.4,61,20,5.82
138,Rocha,-34.48,54.36,97,88,5.5
139,Arraial do Cabo,-22.97,72.05,95,100,5.82
140,Port Lincoln,-34.72,64.33,42,0,11.56
141,Puerto Ayacucho,5.66,73.62,96,64,2.24
142,Veinticinco de Mayo,-27.38,70.0,86,0,3.22
143,Jumla,29.28,48.81,49,0,0.83
144,Tonantins,-2.86,74.48,96,100,1.72
145,Kapaa,22.08,80.6,61,1,3.36
146,Faanui,-16.48,81.28,77,100,18.59
147,Rafai,4.95,68.72,98,63,1.77
148,North Bend,43.41,53.01,87,90,2.01
149,Ostrovnoy,68.05,14.47,93,100,4.81
150,Leningradskiy,69.38,19.26,75,0,13.98
151,Aracati,-4.56,77.27,77,23,7.52
152,Saint-Michel-des-Saints,46.68,17.01,8,24,4.68
153,Provideniya,64.42,31.06,99,100,2.84
154,Tarusa,54.73,39.2,100,90,6.71
155,Wanning,48.64,43.0,93,75,5.82
156,Cap Malheureux,-19.98,77.0,73,40,11.41
157,Carnarvon,-30.97,54.64,55,43,14.27
